Date / time,tracer test time (days),tracer test time (hours),RWT-1313-10,Normalized
45515.75,0.03,0.72,0.462223855,0.003094225
45515.77083,0.05,1.22,0.52703789,0.003528104
45515.79167,0.07,1.72,0.502498501,0.003363832
45515.8125,0.09,2.22,0.847971094,0.005676499
45515.83333,0.11,2.72,0.405523712,0.002714662
45515.85417,0.13,3.22,0.695343785,0.004654779
45515.90625,0.19,4.47,1.9203145,0.012854994
45515.95833,0.24,5.72,28.44192523,0.190396296
45516.04167,0.32,7.72,102.0138761,0.682902581
45516.14583,0.43,10.22,149.3827656,1
45516.25,0.53,12.72,141.5132836,0.947320014
45516.39583,0.68,16.22,102.265408,0.684586389
45516.4375,0.72,17.22,91.84916708,0.614857857
45516.47917,0.76,18.22,83.88022285,0.561512049
45516.52083,0.8,19.22,75.4189514,0.504870499
45516.5625,0.84,20.22,70.21194182,0.47001367
45516.60417,0.88,21.22,61.76033318,0.413436804
45516.64583,0.93,22.22,56.86511256,0.380667156
45516.6875,0.97,23.22,48.61542284,0.325441979
45516.77083,1.05,25.22,40.36593642,0.270218162
45516.85417,1.13,27.22,35.39318912,0.236929535
45516.9375,1.22,29.22,33.09412481,0.221539109
45517.02083,1.3,31.22,30.56801757,0.20462881
45517.10417,1.38,33.22,28.84226169,0.193076233
45517.1875,1.47,35.22,25.45154125,0.17037803
45517.27083,1.55,37.22,24.78188745,0.165895225
45517.35417,1.63,39.22,23.31141291,0.156051555
45517.4375,1.72,41.22,21.52834849,0.144115343
45517.52083,1.8,43.22,15.66738898,0.104880834
45517.60417,1.88,45.22,15.68925462,0.105027207
45517.72917,2.01,48.22,14.49615709,0.097040358
45517.89583,2.18,52.22,12.49737895,0.083660112
45518.26667,2.55,61.12,10.25555907,0.068652893
45518.60417,2.88,69.22,8.464366023,0.056662266
45518.9375,3.22,77.22,7.499954166,0.050206288
45519.29167,3.57,85.72,6.987460557,0.046775547
45519.375,3.65,87.72,6.78384569,0.045412506
45519.45833,3.74,89.72,6.57105203,0.04398802
45519.47917,3.76,90.22,6.97763905,0.0467098
45519.5,3.78,90.72,7.061369028,0.047270306
45519.52083,3.8,91.22,7.361380729,0.049278648
45519.5625,3.84,92.22,7.177840998,0.048049994
45519.60417,3.88,93.22,6.630548475,0.044386302
45519.64583,3.93,94.22,6.657902241,0.044569413
45519.6875,3.97,95.22,6.496602208,0.043489637
45519.72917,4.01,96.22,6.593444898,0.044137922
45519.77083,4.05,97.22,6.344033535,0.04246831
45519.85417,4.13,99.22,6.588711895,0.044106239
45519.9375,4.22,101.22,6.597416976,0.044164512
45520.02083,4.3,103.22,7.058252023,0.04724944
45520.10417,4.38,105.22,6.833117691,0.045742343
45520.1875,4.47,107.22,6.963615488,0.046615923
45520.27083,4.55,109.22,5.896543845,0.039472718
45520.4375,4.72,113.22,6.599785218,0.044180366
45520.60417,4.88,117.22,6.291587837,0.042117227
45520.77083,5.05,121.22,6.896117859,0.046164079
45520.9375,5.22,125.22,6.048367434,0.040489058
45521.10417,5.38,129.22,6.548770939,0.043838865
45521.4375,5.72,137.22,6.688280028,0.044772769
45522.4375,6.72,161.22,6.276618392,0.042017018
45523.4375,7.72,185.22,6.369097969,0.042636096
45524.4375,8.72,209.22,5.496754166,0.036796441
45525.4375,9.72,233.22,5.058215673,0.033860771
45526.4375,10.72,257.22,4.672427437,0.031278223
45527.4375,11.72,281.22,3.973559101,0.02659985
45528.4375,12.72,305.22,4.097506501,0.02742958
45529.4375,13.72,329.22,3.63233237,0.024315605
45530.4375,14.72,353.22,3.711274848,0.024844063
45531.4375,15.72,377.22,3.653978726,0.024460511
45532.4375,16.72,401.22,3.661173767,0.024508676
45533.4375,17.72,425.22,3.164292137,0.021182444
45534.41667,18.7,448.72,2.990071739,0.020016176
45534.4375,18.72,449.22,3.539284039,0.02369272
45534.45833,18.74,449.72,2.941192114,0.019688965
45534.47917,18.76,450.22,3.168963928,0.021213718
45534.5,18.78,450.72,2.590020727,0.01733815
45534.52083,18.8,451.22,3.189736715,0.021352776
45534.5625,18.84,452.22,2.65206159,0.017753464
45534.60417,18.88,453.22,3.399953051,0.022760009
45534.64583,18.93,454.22,2.733863288,0.018301062
45534.6875,18.97,455.22,2.701248335,0.018082731
45534.72917,19.01,456.22,2.270966569,0.015202333
45534.77083,19.05,457.22,2.835314992,0.018980202
45534.85417,19.13,459.22,3.079147798,0.02061247
45534.9375,19.22,461.22,2.967820215,0.01986722
45535.02083,19.3,463.22,3.464168994,0.023189884
45535.10417,19.38,465.22,2.765807499,0.018514904
45535.1875,19.47,467.22,2.47795337,0.016587947
45535.27083,19.55,469.22,3.004501777,0.020112774
45535.4375,19.72,473.22,3.043806908,0.020375891
45535.60417,19.88,477.22,2.560941442,0.017143487
45535.77083,20.05,481.22,2.811693918,0.018822077
45535.9375,20.22,485.22,2.958926913,0.019807686
45536.10417,20.38,489.22,3.040021884,0.020350553
45536.29167,20.57,493.72,2.906864321,0.019459168
45536.79167,21.07,505.72,3.117991582,0.020872499
45537.29167,21.57,517.72,2.922178247,0.019561683
45537.79167,22.07,529.72,2.913118479,0.019501035
45538.29167,22.57,541.72,2.302565311,0.015413862
45538.79167,23.07,553.72,2.166028168,0.014499853
45539.1875,23.47,563.22,2.968546314,0.01987208
